State County,City,Property Name Property Numbe Site Number,Unnamed: 0,Category,Division District,Property Name,Property Numbe Site Number
AK Fairbanks North Star,"FAIRBANKS, SE.",,,BD/DR,POD POA,NIKE SITE JIG,F10AK0853 01
Borough,OF,,,,,,
AK Matanuska-susitna Borough,"GLENNALLEN,",,,BD/DR,POD POA,LAKE LOUISE,F10AK0847 01
,NW. OF,,,,,,
AK Valdez-cordova Census Area,GULKANA,,,CON/HTRW,POD POA,GULKANA PREP & ARMY,F10AK0319 01
AK Valdez-cordova Census Area,GULKANA,,,MMRP,POD POA,GULKANA PREP & ARMY,F10AK0319 03
AK Skagway-hoonah-angoon,GUSTAVUS,,,HTRW,POD POA,GUSTAVUS ARPT,F10AK0116 01
Census Area,,,,,,,
AK Haines Borough,HAINES,,,HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 01
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 02
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 03
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 04
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 05
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 06
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 07
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 08
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 09
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 10
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 11
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 12
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 13
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 14
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 15
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 16
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 17
AK Haines Borough,HAINES,,,CON/HTRW,POD POA,HAINES FAIRBANKS PIPELINE,F10AK1016 18
AK Haines Borough,HAINES-CANADA,,,HTRW,POD POA,HAINES MILITARY CUTOFF ROAD,F10AK0566 03
,ROW,,,,,,
AK Kenai Peninsula Borough,"HOMER, NE. OF",,,HTRW,POD POA,OHLSON MT,F10AK0856 01
AK Kenai Peninsula Borough,"HOMER, NE. OF",,,CON/HTRW,POD POA,OHLSON MT,F10AK0856 02
AK Skagway-hoonah-angoon,"HOONAH, SE.",,,BD/DR,POD POA,HOONAH RRS,F10AK0122 01
Census Area,EDGE,,,,,,
AK Skagway-hoonah-angoon,"HOONAH, SE.",,,CON/HTRW,POD POA,HOONAH RRS,F10AK0122 02
Census Area,EDGE,,,,,,
AK Skagway-hoonah-angoon,"HOONAH, SE.",,,HTRW,POD POA,HOONAH RRS,F10AK0122 03
Census Area,EDGE,,,,,,
AK Skagway-hoonah-angoon,"HOONAH, SE.",,,PRP/HTRW,POD POA,HOONAH RRS,F10AK0122 04
Census Area,EDGE,,,,,,
AK North Slope Borough,KAKTOVIK,,,CON/HTRW,POD POA,BARTER ISLAND DEW STATION,F10AK0995 01
AK North Slope Borough,"KAKTOVIK, NEAR",,,BD/DR,POD POA,LAKE PETERS,F10AK0259 01
AK North Slope Borough,"KAKTOVIK, NEAR",,,CON/HTRW,POD POA,LAKE PETERS,F10AK0259 02
AK North Slope Borough,"KAKTOVIK, NEAR",,,HTRW,POD POA,LAKE PETERS,F10AK0259 03
AK North Slope Borough,"KAKTOVIK, SW. OF",,,BD/DR,POD POA,COLLINSON POINT DEW,F10AK0006 01
AK North Slope Borough,"KAKTOVIK, SW. OF",,,CON/HTRW,POD POA,COLLINSON POINT DEW,F10AK0006 02
AK North Slope Borough,"KAKTOVIK, SW. OF",,,HTRW,POD POA,COLLINSON POINT DEW,F10AK0006 03
AK Kenai Peninsula Borough,KENAI,,,CON/HTRW,POD POA,WILDWOOD AFS,F10AK0251 01
AK Kenai Peninsula Borough,KENAI,,,BD/DR,POD POA,WILDWOOD AFS,F10AK0251 02
AK Kenai Peninsula Borough,KENAI,,,HTRW,POD POA,WILDWOOD AFS,F10AK0251 03
AK Kenai Peninsula Borough,KENAI,,,HTRW,POD POA,WILDWOOD AFS,F10AK0251 04
AK Kenai Peninsula Borough,KENAI,,,HTRW,POD POA,WILDWOOD AFS,F10AK0251 05
AK Kodiak Island Borough,KODIAK,,,BD/DR,POD POA,CAPE CHINIAK TRACK STA,F10AK0279 01
AK Kodiak Island Borough,KODIAK,,,CON/HTRW,POD POA,CAPE CHINIAK TRACK STA,F10AK0279 02
AK Kodiak Island Borough,KODIAK,,,HTRW,POD POA,CAPE CHINIAK TRACK STA,F10AK0279 03
AK Kodiak Island Borough,KODIAK,,,BD/DR,POD POA,FORT TIDBALL/LONG ISLAND,F10AK0280 01
AK Kodiak Island Borough,KODIAK,,,CON/HTRW,POD POA,FORT TIDBALL/LONG ISLAND,F10AK0280 02
AK Kodiak Island Borough,KODIAK,,,HTRW,POD POA,FORT TIDBALL/LONG ISLAND,F10AK0280 03
AK Kodiak Island Borough,KODIAK,,,HTRW,POD POA,KODIAK NAVY/ARMY,F10AK1007 01
AK Kodiak Island Borough,KODIAK,,,HTRW,POD POA,KODIAK NAVY/ARMY,F10AK1007 02
AK Kodiak Island Borough,KODIAK,,,HTRW,POD POA,KODIAK NAVY/ARMY,F10AK1007 04
AK Kodiak Island Borough,KODIAK,,,HTRW,POD POA,KODIAK NAVY/ARMY,F10AK1007 05
AK Kodiak Island Borough,KODIAK,,,HTRW,POD POA,KODIAK NAVY/ARMY,F10AK1007 06
AK Kodiak Island Borough,KODIAK,,,CON/HTRW,POD POA,KODIAK NAVY/ARMY,F10AK1007 07
AK Kodiak Island Borough,KODIAK,,,CON/HTRW,POD POA,KODIAK NAVY/ARMY,F10AK1007 08
AK Kodiak Island Borough,KODIAK,,,HTRW,POD POA,KODIAK NAVY/ARMY,F10AK1007 09
AK Kodiak Island Borough,KODIAK,,,HTRW,POD POA,KODIAK NAVY/ARMY,F10AK1007 10
AK Kodiak Island Borough,KODIAK,,,HTRW,POD POA,KODIAK NAVY/ARMY,F10AK1007 11
AK Kodiak Island Borough,KODIAK,,,HTRW,POD POA,KODIAK NAVY/ARMY,F10AK1007 12
AK Kodiak Island Borough,KODIAK,,,BD/DR,POD POA,SITKINAK ISL RADIO REL,F10AK0287 01
AK Kodiak Island Borough,KODIAK ISLAND,,,HTRW,POD POA,BRUHN PT. (KODIAK ISL),F10AK0901 03
AK Kodiak Island Borough,KODIAK ISLAND,,,BD/DR,POD POA,BUSKIN BCH-KODIAK ISL,F10AK0902 01
AK Kodiak Island Borough,KODIAK ISLAND,,,HTRW,POD POA,BUSKIN BCH-KODIAK ISL,F10AK0902 03
AK Kodiak Island Borough,KODIAK ISLAND,,,CON/HTRW,POD POA,BUSKIN BCH-KODIAK ISL,F10AK0902 04
AK Kodiak Island Borough,KODIAK ISLAND,,,HTRW,POD POA,BUSKIN BCH-KODIAK ISL,F10AK0902 05
AK Kodiak Island Borough,KODIAK ISLAND,,,HTRW,POD POA,BUSKIN BCH-KODIAK ISL,F10AK0902 06
AK Kodiak Island Borough,KODIAK ISLAND,,,HTRW,POD POA,BUSKIN BCH-KODIAK ISL,F10AK0902 07
AK Kodiak Island Borough,"KODIAK, SW. OF",,,BD/DR,POD POA,BURMA ROAD,F10AK0291 01
